ID,Decsription,Planned Duration,Impacted Duration,Planned Cost,Impacted Cost
N7-MOBLIZATION,SITE MOBILIZATION,60,70.25,0,0
N7-PROC-M-AP100,Concealed Split System - M Approval,25,33.93,0,0
N7-PROC-M-AP101,Wiring Devices - M Approval,25,29.07,0,0
N7-PROC-M-AP102,U.P.V.C Conduit & boxes with accessories - M Approval,25,29.17,0,0
N7-PROC-M-AP103,Water Supply Pipes - M Approval,25,28.88,0,0
N7-PROC-M-AP104,Fittings & Accessories For Water Supply Pipes - M Approval,25,28.88,0,0
N7-PROC-M-AP105,Ball Valves - M Approval,25,29.17,0,0
N7-PROC-M-AP106,Covers For Chambers - M Approval,25,42.84,0,0
N7-PROC-M-AP107,a,25,28.9,0,0
N7-PROC-M-AP108,Floor drain - M Approval,25,29.06,0,0
N7-PROC-M-AP109,Gully Trap - M Approval,25,29.07,0,0
N7-PROC-M-AP110,UPVC pipes & fittings - M Approval,25,29.06,0,0
N7-PROC-M-AP111,Dry Mix - M Approval,25,42.37,0,0
N7-PROC-M-AP112,Steel Handrails For Terraces & Windows - M Approval,25,28.89,0,0
N7-PROC-M-AP113,Aluminum Louvers For Slab Openings - M Approval,25,29.16,0,0
N7-PROC-M-AP114,Aluminum Louvers For Elevations - M Approval,25,29.08,0,0
N7-PROC-M-AP115,Wire Mesh - M Approval,25,43.17,0,0
N7-PROC-M-AP116,Marble Counter Top - M Approval,25,29.05,0,0
N7-PROC-M-AP117,Steel ladder - M Approval,25,34.11,0,0
N7-PROC-M-AP118,Marble and Sornaga For Elevations - M Approval,25,28.9,0,0
N7-PROC-M-AP119,Metal Covers For Ducts - M Approval,25,34.19,0,0
N7-PROC-M-AP120,Water proofing membrane 4 mm - M Approval,25,28.76,0,0
N7-PROC-M-AP121,Gravel Layer For Roofs - M Approval,25,28.9,0,0
N7-PROC-M-AP122,Terrazzo Tiles - M Approval,25,29.17,0,0
N7-PROC-M-AP123,Light Weight Concrete - M Approval,25,42.38,0,0
N7-PROC-M-AP124,Wooden Doors - M Approval,25,36.68,0,0
N7-PROC-M-AP125,Metal Doors and Intake Doors- M Approval,25,29.17,0,0
N7-PROC-M-AP126,Accessories For Glass Doors - M Approval,25,28.9,0,0
N7-PROC-M-AP127,Cement bags for mortar - M Approval,25,29.11,0,0
N7-PROC-M-AP128,Accessories of plaster - M Approval,25,28.76,0,0
N7-PROC-M-AP129,Accessories of fixing masonary - M Approval,25,29.14,0,0
N7-PROC-M-AP130,Accessories For Wooden Doors - M Approval,25,42.42,0,0
N7-PROC-M-AP131,Glass Doors - M Approval,25,29.06,0,0
N7-PROC-M-AP132,Steel bars - M Approval,3,3,0,0
N7-PROC-M-AP133,Cold bituminous paints - M Approval,25,29.17,0,0
N7-PROC-M-AP134,Curb Stone - M Approval,25,29.19,0,0
N7-PROC-M-AP135,MDF Mail boxes - M Approval,25,29.07,0,0
N7-PROC-M-AP136,HDF - M Approval,25,42.77,0,0
N7-PROC-M-AP137,Marble Flooring - M Approval,25,28.9,0,0
N7-PROC-M-AP138,DX Split Units - M Approval,25,29.16,0,0
N7-PROC-M-AP139,Exhaust Fans - M Approval,25,28.89,0,0
N7-PROC-M-AP140,Metal Ducts & Insulation - M Approval,25,29.07,0,0
N7-PROC-M-AP141,"HVAC Accessories ,  Diffusers &Grilles - M Approval",25,28.9,0,0
N7-PROC-M-AP142,Submersible Pumps - M Approval,25,29.18,0,0
N7-PROC-M-AP143,Low Voltage Cabels - M Approval,25,28.88,0,0
N7-PROC-M-AP144,Earthing System - M Approval,25,42.88,0,0
N7-PROC-M-AP145,Distribution boards - M Approval,25,29.12,0,0
N7-PROC-M-AP146,Access Control System - M Approval,25,42.26,0,0
N7-PROC-M-AP147,Fire Alarm System - M Approval,25,29.13,0,0
N7-PROC-M-AP148,Data System Cables - M Approval,25,33.93,0,0
N7-PROC-M-AP149,Wooden Sub-Frames - M Approval,25,28.89,0,0
N7-PROC-M-AP150,Washable Emulsion paints - M Approval,25,29.16,0,0
N7-PROC-M-AP151,Wooden Pergola - M Approval,25,42.36,0,0
N7-PROC-M-AP152,Gypsum Board - M Approval,25,28.88,0,0
N7-PROC-M-AP153,Wooden Cladding - M Approval,25,37.07,0,0
N7-PROC-M-AP154,Painting Putty - M Approval,25,28.88,0,0
N7-PROC-M-AP155,Stainless Steel Building Logo - M Approval,25,29.18,0,0
N7-PROC-M-AP156,Marble Architraves for Elevator Doors - M Approval,25,28.76,0,0
N7-PROC-M-AP157,Corridor Marble Flooring - M Approval,25,28.88,0,0
N7-PROC-M-AP158,Wooden Architraves for Openings - M Approval,25,28.88,0,0
N7-PROC-M-AP159,Marble Wall Cladding for Main Entrance- M Approval,25,42.25,0,0
N7-PROC-M-AP160,Wooden Louvers - M Approval,25,28.89,0,0
N7-PROC-M-AP161,Marble For Stairs - M Approval,25,29.06,0,0
N7-PROC-M-AP162,Expansion Joint Installation - M Approval,25,28.91,0,0
N7-PROC-M-AP163,Fire Hoses Installation - M Approval,25,42.92,0,0
N7-PROC-M-AP164,Entrance Counter Works - M Approval,25,29.18,0,0
N7-PROC-M-AP165,Terrazzo Tiles Under HDF - M Approval,25,29.07,0,0
N7-PROC-M-DEL100,Water proofing membrane 4 mm - Deleviry To Site,15,17.34,0,0
N7-PROC-M-DEL101,Gravel Layer For Roofs - Deleviry To Site,15,23.08,0,0
N7-PROC-M-DEL102,Metal Covers For Ducts - Deleviry To Site,30,42.54,0,0
N7-PROC-M-DEL103,Terrazzo Tiles - Deleviry To Site,30,36.92,0,0
N7-PROC-M-DEL104,Light Weight Concrete - Deleviry To Site,15,30.19,0,0
N7-PROC-M-DEL105,Wooden Doors - Deleviry To Site,60,69.86,0,0
N7-PROC-M-DEL106,Metal Doors and Intake Doors- Deleviry To Site,60,83.84,0,0
N7-PROC-M-DEL107,Accessories For Glass Doors - Deleviry To Site,30,35.22,0,0
N7-PROC-M-DEL108,Cement bags for mortar - Deleviry To Site,15,17.31,0,0
N7-PROC-M-DEL109,Accessories of plaster - Deleviry To Site,15,17.34,0,0
N7-PROC-M-DEL110,Accessories of fixing masonary - Deleviry To Site,15,17.31,0,0
N7-PROC-M-DEL111,Accessories For Wooden Doors - Deleviry To Site,30,49.23,0,0
N7-PROC-M-DEL112,Glass Doors - Deleviry To Site,30,35.21,0,0
N7-PROC-M-DEL113,"Block No.03-Concealed Split System ,Diffusers,Grilles& fans -Deleviry To Site",60,72.56,0,0
N7-PROC-M-DEL114,Steel bars - Deleviry To Site,2,2.44,0,0
N7-PROC-M-DEL115,Cold bituminous paints - Deleviry To Site,7,7.99,0,0
N7-PROC-M-DEL116,Curb Stone - Deleviry To Site,30,39.89,0,0
N7-PROC-M-DEL117,Wiring Devices - Deleviry To Site,90,133.13,0,0
N7-PROC-M-DEL118,U.P.V.C Conduit & boxes with accessories - Deleviry To Site,30,35.22,0,0
N7-PROC-M-DEL119,Water Supply Pipes - Deleviry To Site,15,17.33,0,0
N7-PROC-M-DEL120,Fittings & Accessories For Water Supply Pipes - Deleviry To Site,15,17.35,0,0
N7-PROC-M-DEL121,Ball Valves - Deleviry To Site,60,69.85,0,0
N7-PROC-M-DEL122,Covers For Chambers - Deleviry To Site,60,69.81,0,0
